SM_SYMBOL_NAME,SEM_SMST_SECURITY_ID
JK LAKSHMI CEMENT LTD,13491
PRIME FOCUS LIMITED,13496
ALLCARGO LOGISTICS LTD,13501
MOXSH OVERSEAS EDUCON LTD,13502
AKASH INFRA-PROJECTS LTD,13510
MUNJAL AUTO IND. LTD.,13511
OMKAR SPL CHEM LTD,13515
EMAMI LIMITED,13517
NORTH EAST CARRY CORP LTD,13522
HOMESFY REALTY LIMITED,13526
GMR AIRPORTS LIMITED,13528
A AND M JUMBO BAGS LTD,1353
VIDHI SPCLTY F INGRDNTS L,13536
TECH MAHINDRA LIMITED,13538
AVONMORE CAP&MGT SERV LTD,13557
GRINDWELL NORTON LIMITED,13560
SHREE RAMA NEWSPRINT LTD,13565
RBM INFRACON LIMITED,13570
MANUGRAPH INDIA LIMITED,13575
VOLTAMP TRANSFORMERS LTD,13577
RADIANT CASH MGMT SER LTD,13580
ATLANTAA LIMITED,13585
ACTION CONST EQUIP LTD,13587
HANDSON GBL MNGMNT LTD,13595
ANTELOPUS SELAN ENRGY LTD,13598
ANDHRA SUGARS LTD,136
HIMATSINGKA SEIDE LTD,1360
INDIAN RAIL TOUR CORP LTD,13611
ANANT RAJ LIMITED,13620
BIL VYAPAR LIMITED,13625
HINDALCO  INDUSTRIES  LTD,1363
SKY GOLD AND DIAMONDS LTD,13631
JM FINANCIAL LIMITED,13637
ELECON ENG. CO. LTD,13643
TALBROS AUTO. COMP. LTD,13648
ALICON CASTALLOY LIMITED,13656
GEECEE VENTURES LIMITED,13658
ANLON TECHNOLOGY SOL LTD,13664
MADHUCON PROJECTS LTD.,13671
NUPUR RECYCLERS LIMITED,13675
ALLCARGO GATI LIMITED,13688
AEROFLEX NEU LIMITED,13689
INFOMEDIA PRESS LIMITED,13694
GOLDKART JEWELS LIMITED,13701
VISHWARAJ SUGAR IND LTD,13702
FIEM INDUSTRIES LIMITED,13710
HINDUSTAN COMPOSITES LTD.,1372
JHS SVEND. LAB. LTD,13720
DCB BANK LIMITED,13725
CHAMAN METALLICS LIMITED,13731
INSPIRISYS SOLUTIONS LTD,13734
GLOBAL VEC HELICORP LTD,13735
SHYAM TELECOM LIMITED,13740
GTL INFRA.LTD,13745
HINDUSTAN CONSTRUCTION CO,1375
GUJARAT FLUOROCHEM LTD,13750
INFO EDGE (I) LTD,13751
MANOMAY TEX INDIA LTD,13753
SHIVAM AUTO.LTD,13756
BHARAT BIJLEE LTD,13761
DUCOL ORGS AND COLOURS LT,13766
AARVEE DEN. & EXP. LTD,13775
THE GE SHPG.LTD,13776
TORRENT POWER LTD,13786
BAID FINSERV LIMITED,13794
PARSVNATH DEVELOPER LTD,13795
MANALI PETROCHEMICALS LT,13796
SUTLEJ TEXT & INDUS LTD,13801
GREENPANEL INDUSTRIES LTD,13810
FUTURE ENTERPRISES LTD,13812
KAMDHENU VENTURES LIMITED,13814
LT FOODS LIMITED,13816
RUCHIRA PAPERS LIMITED,13821
SOBHA LIMITED,13826
DONEAR IND. LIMITED,13839
MM FORGINGS LTD,13844
VENUS REMEDIES LIMITED,13859
AARTI PHARMALABS LIMITED,13868
KUANTUM PAPERS LIMITED,13870
JINDAL DRILLING IND. LTD,13875
BANCO PRODUCTS (I) LTD,13880
HIND RECTIFIER LIMITED,13890
CREST VENTURES LIMITED,13900
PLASTIBLENDS INDIA LTD,13920
NATIONAL FERT. LTD,13925
ARISTO BIO T AND LIFESC L,13926
HINDUSTAN UNILEVER LTD.,1394
PRAJAY ENG. SYN. LTD.,13945
PARAMOUNT COMM LTD,13951
HBL ENGINEERING LTD,13966
TANLA PLATFORMS LIMITED,13976
JASH ENGINEERING LIMITED,13982
ZEE MEDIA CORPORATION LTD,14003
AVT NATURAL PRODUCTS LTD,14008
LUMAX AUTO TECH LTD,14014
VEEDOL CORPORATION LTD,14019
HINDUSTAN OIL EXPLORATION,1403
SARLA PERF. FIBERS LTD,14043
GAYATRI RUBB AND CHEM LTD,14052
SANGHVI MOVERS LTD,14058
HINDUSTAN PETROLEUM CORP,1406
WANBURY LIMITED,14063
SAGAR CEMENTS LIMITED,14068
BARTRONICS INDIA LIMITED,14069
I G PETROCHEMICALS LTD,14086
SIYARAM SILK MILLS LTD,14096
PTL ENTERPRISES LTD,14101
AUTOLINE INDUSTRIES LTD,14106
NETWORK18 MEDIA & INV LTD,14111
GANDHI SPL. TUBES LTD,14116
AGI GREENPAC LIMITED,1412
OMAX AUTOS LTD,14125
PITTI ENGINEERING LIMITED,14134
SURATWWALA BUS GROUP LTD,14139
BODHI TREE MULTIMEDIA LTD,14150
UNO MINDA LIMITED,14154
GLOBAL EDUCATION LIMITED,1417
SHERA ENERGY LIMITED,14172
IZMO LIMITED,14178
NMDC STEEL LIMITED,14180
NINTEC SYSTEMS LIMITED,14194
TIMKEN INDIA LTD.,14198
HUBTOWN LIMITED,14203
LEAD REC AND RUB PROD LTD,14204
CAMBRIDGE TECH ENTER LTD,14218
TECHNOCRAFT IND LTD,14223
HINDUSTAN ZINC LIMITED,1424
TVS SRICHAKRA LIMITED,14245
REDINGTON LIMITED,14255
MOHINI HEALTH&HYGIENE LTD,1426
PEARL GLOBAL IND LIMITED,14260
AGARWAL FLOAT GLASS I LTD,14263
ORIENT BELL LIMITED,14278
SEQUENT SCIENTIFIC LTD.,14296
POWER FIN CORP LTD.,14299
FIRSTSOURCE SOLU. LTD.,14304
INDIAN BANK,14309
SHREEOSWAL S AND CHE LTD,14310
T T LIMITED,14314
TRANSWARRANTY FIN. LTD.,14319
VIAZ TYRES LIMITED,14325
SMS PHARMACEUTICALS LTD.,14329
HIMADRI SPECIALITY CHEM L,14334
GANESH HOUSING LIMITED,14339
ORIENTAL TRIMEX LTD,14346
APOLLO PIPES LIMITED,14361
VODAFONE IDEA LIMITED,14366
PONDY OXIDES & CHEM LTD,14385
AMD INDUSTRIES LIMITED,14398
GODREJ AGROVET LIMITED,144
RAJ TV NETWORK LTD,14403
SRIVASAVI ADHESIVE TAPE L,14411
PAGE INDUSTRIES LTD,14413
ASTRAL LIMITED,14418
SANOFI INDIA LIMITED,1442
LA OPALA RG LIMITED,14423
JK TYRE & INDUSTRIES LTD,14435
NAHAR SPINNING MILLS LTD.,14440
NAHAR POLY FILMS LIMITED,14445
EMBASSY DEVELOPMENTS LTD,14450
LEXUS GRANITO (INDIA) LTD,14459
DIVGI TORQTRANSFER SYST L,14479
HLV LIMITED,1448
GOKUL AGRO RESOURCES LTD,14480
THEMIS MEDICARE LTD.,14485
NCL INDUSTRIES LIMITED,14490
BALAJI AMINES LIMITED,14501
VERTEXPLUS TECHNOLOGIES L,14503
SYSTANGO TECHNOLOGIES LTD,14506
BANSWARA SYNTEX LIMITED,14511
ICRA LIMITED,14523
DISH TV INDIA LTD.,14537
BIRLANU LIMITED,1455
NDL VENTURES LIMITED,14550
THE PHOENIX MILLS LTD,14552
ARO GRANITE IND. LTD.,14557
ZENITH STEEL PIP IND LTD,14562
BF UTILITIES LIMITED,14567
MCON RASAYAN INDIA LTD,14574
SREE RAYALSEEMA HHP LTD.,14582
VELS FILM INTERNATIONAL L,14590
FORTIS HEALTHCARE LTD,14592
ALPHAGEO (INDIA) LIMITED,14597
GLOBAL SURFACES LIMITED,14599
WEBSOL ENERGY SYSTEM LTD,14602
TGB BANQUETS&HOTELS LTD,14607
QUALITY FOILS (INDIA) LTD,14613
SIMBHAOLI SUGARS LTD.,14616
CHEMBOND MATERIALTECH LTD,14618
HILTON METAL FORGING LTD,14627
FUTURE SUPP CHAIN SOL LTD,14628
ACCURACY SHIPPING LIMITED,1465
INSECTICIDES (I) LTD,14657
K M SUGAR MILLS LTD,14667
AKZO NOBEL INDIA LIMITED,1467
NAVIN FLUORINE INT. LTD,14672
GUJ. APOLLO IND. LTD.,14681
GOA CARBON LIMITED,14687
NAGREEKA EXPORTS LTD.,14702
TIME TECHNOPLAST LTD.,14707
HINDUJA GLOBAL SOLS. LTD.,14712
NIRMAN AGRI GENTICS LTD,14722
DLF LIMITED,14732
TECIL CHEMICALS,14739
ADVANI HOT.& RES.(I) LTD,14745
WINSOME YARNS LIMITED,14757
IDBI BANK LIMITED,1476
NELCAST LIMITED,14761
V2 RETAIL LIMITED,14766
TARMAT LIMITED,14771
SUN PHARMA ADV.RES.CO.LTD,14788
MEGASOFT LTD,14793
RUDRABHISHEK ENTERP LTD,1480
ALLIED DIGITAL SERV. LTD,14813
IFB AGRO INDUSTRIES LTD,1482
W.S.INDUSTRIES (I) LTD.,14828
DECCAN CEMENTS LIMITED,14838
VIP CLOTHING LIMITED,14843
ALPA LABORATORIES LTD,14848
IFB INDUSTRIES LTD,1485
OMAXE LIMITED,14853
FUT LIFESTYLE FASH LTD,14868
UDAYSHIVAKUMAR INFRA LTD,14871
ASIAN GRANITO IND. LTD.,14889
CENTRAL BANK OF INDIA,14894
AKI INDIA LIMITED,14895
SAHYADRI INDUSTRIES LTD,14900
KDDL LIMITED,14908
IFCI LTD,1491
KPR MILL LTD.,14912
TAKE SOLUTIONS LTD,14917
PURAVANKARA LIMITED,14922
LORENZINI APPARELS LTD,14924
CIE AUTOMOTIVE INDIA LTD,14937
RESTAURANT BRAND ASIA LTD,1494
NAGREEKA CAP & INFR.LTD,14942
MOTILAL OSWAL FIN LTD,14947
INDOWIND ENERGY LTD,14952
MAGNUM VENTURES LTD.,14957
CSB BANK LIMITED,14966
SHIVA MILLS LIMITED,1497
KAVERI SEED CO. LTD.,14972
POWER GRID CORP. LTD.,14977
CENTUM ELECTRONICS LTD,14982
CONS. CONST. CONSORT LTD,14992
SOTAC PHARMACEUTICALS LTD,14993
MANG.CHEM.FERT.LTD,15007
MAAN ALUMINIUM LIMITED,15017
ASCOM LEASIN & INVEST LTD,15030
BAJAJ ELECT.LTD,15034
INFINIUM PHARMACHEM LTD,15036
CERA SANITARYWARE LTD,15039
DELTA CORP LIMITED,15044
ENERGY DEVE. CO.LTD,15049
MOS UTILITY LIMITED,15051
AVALON TECHNOLOGIES LTD,15058
BEML LAND ASSETS LIMITED,15067
RELIGARE ENTER. LTD.,15068
BARAK VALLEY CEM. LTD.,15077
ASTER DM HEALTHCARE LTD.,1508
ADANI PORT & SEZ LTD,15083
EDELWEISS FIN SERV LTD,15119
THE INDIAN HOTELS CO. LTD,1512
KOLTE PATIL DEV. LTD.,15124
SHREE VASU LOGISTICS LTD,15126
RENAISSANCE GLOBAL LTD,15129
KAUSHALYA INFRA DEV LTD.,15140
COLGATE PALMOLIVE LTD.,15141
PATTECH FITWELL TUB COM L,15143
JYOTHY LABS LIMITED,15146
A G UNIVERSAL LIMITED,15147
THE INDIA CEMENTS LIMITED,1515
MADHAV MARBLE & GRANITE,15151
KALYANI FORGE LIMITED,15156
ROBUST HOTELS LIMITED,15157
HITECH CORPORATION LTD,15161
TRANS & RECTI. LTD,15174
ECLERX SERVICES LTD,15179
KIRLOSKAR PNEUMATIC COM L,15180
BRIGADE ENTER. LTD,15184
BGR ENERGY SYSTEMS LTD,15193
MANAKSIA LTD.,15199
ARIES AGRO LTD.,15204
INDIA GLYCOLS LTD,1521
PPAP AUTOMOTIVE LIMITED,15213
DHUNSERI VENTURES LIMITED,15214
PATEL INT. LOG. LTD,15219
UJJIVAN SMALL FINANC BANK,15228
AMBIKA COTTON MILL LTD.,15234
ADITYA BIRLA MONEY LTD,15239
KAVVERI DFS & WIR TEC LTD,15248
CEAT LIMITED,15254
RELIANCE POWER LTD.,15259
JKUMAR INFR.LTD.,15266
CORDS CABLE INDUS LTD.,15271
ONMOBILE GLOBAL LTD.,15278
KNR CONSTRU LTD.,15283
QUICKTOUCH TECHNOLOGIES L,15285
HERCULES HOI. LTD.,15288
INDIAN HUME PIPE CO. LTD.,1530
BANG OVERSEAS LTD.,15303
VIRINCHI LIMITED,15304
SEPC LIMITED,15308
IRB INFRA DEV LTD.,15313
NMDC LTD.,15332
RAIN INDUSTRIES LIMITED,15337
SHALIM PAINTS LTD,15342
GSS INFOTECH LIMITED,15347
SADHANA NITROCHEM LIMITED,15349
REC LIMITED,15355
NAHAR CAP & FIN.,15357
V-GUARD IND LTD.,15362
PUDUMJEE PAPER PRO. LTD,15377
MANKIND PHARMA LIMITED,15380
DHANI SERVICES LIMITED,15384
